country_name,province_state,Confirmed,Deaths
Afghanistan,,176918,7651
Albania,,272885,3487
Algeria,,265511,6870
Andorra,,39234,153
Angola,,99003,1900
Antarctica,,11,0
Antigua and Barbuda,,7470,135
Argentina,,8990413,127363
Armenia,,422202,8589
Australia,Australian Capital Territory,64219,38
Australia,New South Wales,1551598,2005
Australia,Northern Territory,45948,31
Australia,Queensland,653383,673
Australia,South Australia,191573,228
Australia,Tasmania,65632,27
Australia,Victoria,1164338,2673
Australia,Western Australia,75641,16
Austria,,3335900,15320
Azerbaijan,,791077,9633
Bahamas,,33206,773
Bahrain,,542305,1464
Bangladesh,,1950357,29112
Barbados,,57451,326
Belarus,,946674,6698
Belgium,Antwerp,570809,0
Belgium,Brussels,419980,0
Belgium,East Flanders,478726,0
Belgium,Flemish Brabant,344971,0
Belgium,Hainaut,423355,0
Belgium,Liege,351403,0
Belgium,Limburg,268313,0
Belgium,Luxembourg,96522,0
Belgium,Namur,164228,0
Belgium,Unknown,54126,30510
Belgium,Walloon Brabant,138073,0
Belgium,West Flanders,385553,0
Belize,,57131,652
Benin,,26952,163
Bhutan,,20722,9
Bolivia,,898941,21477
Bosnia and Herzegovina,,373799,15661
Botswana,,263950,2619
Brazil,Acre,123588,1990
Brazil,Alagoas,295189,6828
Brazil,Amapa,160248,2119
Brazil,Amazonas,579677,14146
Brazil,Bahia,1522095,29549
Brazil,Ceara,1235452,26639
Brazil,Distrito Federal,689463,11542
Brazil,Espirito Santo,1033566,14273
Brazil,Goias,1237668,26067
Brazil,Maranhao,420851,10855
Brazil,Mato Grosso,719566,14829
Brazil,Mato Grosso do Sul,517823,10459
Brazil,Minas Gerais,3281457,60449
Brazil,Para,740222,18006
Brazil,Paraiba,590042,10166
Brazil,Parana,2392386,42763
Brazil,Pernambuco,874704,21253
Brazil,Piaui,366970,7712
Brazil,Rio Grande do Norte,489517,8111
Brazil,Rio Grande do Sul,2230912,38824
Brazil,Rio de Janeiro,2050452,72360
Brazil,Rondonia,385538,7134
Brazil,Roraima,154702,2143
Brazil,Santa Catarina,1656068,21599
Brazil,Sao Paulo,5159850,166446
Brazil,Sergipe,323380,6295
Brazil,Tocantins,301424,4136
Brunei,,120600,177
Bulgaria,,1121194,36248
Burkina Faso,,20806,379
Burma,,607844,19418
Burundi,,38296,38
Cabo Verde,,55917,401
Cambodia,,134624,3049
Cameroon,,119414,1926
Canada,Alberta,533783,4019
Canada,British Columbia,353379,2960
Canada,Diamond Princess,0,1
Canada,Grand Princess,13,0
Canada,Manitoba,133745,1723
Canada,New Brunswick,42320,320
Canada,Newfoundland and Labrador,32113,82
Canada,Northwest Territories,9790,20
Canada,Nova Scotia,48471,218
Canada,Nunavut,3331,5
Canada,Ontario,1145534,12353
Canada,Prince Edward Island,21307,16
Canada,Quebec,939648,14232
Canada,Repatriated Travellers,13,0
Canada,Saskatchewan,129301,1148
Canada,Yukon,3616,23
Central African Republic,,14649,113
Chad,,7269,190
Chile,Antofagasta,118529,1439
Chile,Araucania,204031,1862
Chile,Arica y Parinacota,54020,660
Chile,Atacama,62465,443
Chile,Aysen,23386,142
Chile,Biobio,329784,3382
Chile,Coquimbo,117908,1312
Chile,Los Lagos,185319,1829
Chile,Los Rios,101422,920
Chile,Magallanes,49050,587
Chile,Maule,223278,2217
Chile,Metropolitana,1286213,21624
Chile,Nuble,93341,833
Chile,OHiggins,140231,1858
Chile,Tarapaca,78168,956
Chile,Unknown,43,0
Chile,Valparaiso,286071,4182
China,Anhui,1021,6
China,Beijing,1689,9
China,Chongqing,677,6
China,Fujian,1885,1
China,Gansu,594,2
China,Guangdong,6241,8
China,Guangxi,1347,2
China,Guizhou,170,2
China,Hainan,193,6
China,Hebei,1771,7
China,Heilongjiang,2175,13
China,Henan,2714,22
China,Hong Kong,670713,5136
China,Hubei,68388,4512
China,Hunan,1241,4
China,Inner Mongolia,1673,1
China,Jiangsu,1974,0
China,Jiangxi,962,1
China,Jilin,8852,3
China,Liaoning,1233,2
China,Macau,82,0
China,Ningxia,122,0
China,Qinghai,32,0
China,Shaanxi,3158,3
China,Shandong,2340,7
China,Shanghai,4944,7
China,Shanxi,295,0
China,Sichuan,1583,3
China,Tianjin,1546,3
China,Tibet,1,0
China,Unknown,0,0
China,Xinjiang,996,3
China,Yunnan,2032,2
China,Zhejiang,2551,1
Colombia,Amazonas,7560,264
Colombia,Antioquia,917367,18217
Colombia,Arauca,16284,528
Colombia,Atlantico,401893,10119
Colombia,Bolivar,196986,3237
Colombia,Boyaca,124887,2776
Colombia,Caldas,116828,2525
Colombia,Capital District,1763515,29266
Colombia,Caqueta,24920,1021
Colombia,Casanare,41594,995
Colombia,Cauca,72158,1786
Colombia,Cesar,106333,2667
Colombia,Choco,18581,426
Colombia,Cordoba,118941,3927
Colombia,Cundinamarca,317681,7267
Colombia,Guainia,2754,37
Colombia,Guaviare,5583,105
Colombia,Huila,100226,3504
Colombia,La Guajira,56236,1522
Colombia,Magdalena,114736,3620
Colombia,Meta,104889,2535
Colombia,Narino,104371,3305
Colombia,Norte de Santander,119524,5074
Colombia,Putumayo,20466,769
Colombia,Quindio,70759,2052
Colombia,Risaralda,106239,2465
Colombia,San Andres y Providencia,10162,154
Colombia,Santander,282773,8146
Colombia,Sucre,65628,1713
Colombia,Tolima,124239,3995
Colombia,Unknown,0,300
Colombia,Valle del Cauca,539837,14989
Colombia,Vaupes,1887,19
Colombia,Vichada,3394,61
Comoros,,8074,160
Congo (Brazzaville),,24049,378
Congo (Kinshasa),,86461,1335
Costa Rica,,828442,8215
Cote d'Ivoire,,81637,796
Croatia,,1079397,15392
Cuba,,1079111,8503
Cyprus,,367743,905
Czechia,,3716181,39271
Denmark,Faroe Islands,34658,28
Denmark,Greenland,11915,20
Denmark,,2986355,5300
Diamond Princess,,712,13
Djibouti,,15572,189
Dominica,,11643,62
Dominican Republic,,577070,4375
Ecuador,,849699,35348
Egypt,,495373,24277
El Salvador,,160305,4105
Equatorial Guinea,,15899,183
Eritrea,,9722,103
Estonia,,538673,2376
Eswatini,,69527,1392
Ethiopia,,469393,7488
Fiji,,64154,834
Finland,,782912,2783
France,French Guiana,78272,394
France,French Polynesia,71243,645
France,Guadeloupe,128353,924
France,Martinique,135881,905
France,Mayotte,36745,187
France,New Caledonia,59843,306
France,Reunion,318695,689
France,Saint Barthelemy,3780,6
France,Saint Pierre and Miquelon,1693,1
France,St Martin,9912,63
France,Wallis and Futuna,454,7
France,,23201324,137630
Gabon,,47570,303
Gambia,,11973,365
Georgia,,1639678,16612
Germany,Baden-Wurttemberg,2637083,14758
Germany,Bayern,3448099,22050
Germany,Berlin,833613,4315
Germany,Brandenburg,621167,5332
Germany,Bremen,132329,699
Germany,Hamburg,392772,2348
Germany,Hessen,1251813,9464
Germany,Mecklenburg-Vorpommern,330469,1888
Germany,Niedersachsen,1375949,7780
Germany,Nordrhein-Westfalen,3728711,23054
Germany,Rheinland-Pfalz,739957,5145
Germany,Saarland,206079,1467
Germany,Sachsen,1135779,14516
Germany,Sachsen-Anhalt,520737,4899
Germany,Schleswig-Holstein,418649,2213
Germany,Thuringen,514862,6723
Germany,Unknown,37652,0
Ghana,,160775,1445
Greece,,2732866,26792
Grenada,,13921,217
Guatemala,,812125,17191
Guinea,,36435,440
Guinea-Bissau,,8096,169
Guyana,,63175,1226
Haiti,,30478,827
Holy See,,29,0
Honduras,,417201,10842
Hungary,,1820767,44895
Iceland,,169258,91
India,Andaman and Nicobar Islands,10029,129
India,Andhra Pradesh,2319066,14730
India,Arunachal Pradesh,64483,296
India,Assam,724181,6639
India,Bihar,830401,12255
India,Chandigarh,91877,1165
India,Chhattisgarh,1151892,14034
India,Dadra and Nagar Haveli and Daman and Diu,11441,4
India,Delhi,1863493,26145
India,Goa,245239,3830
India,Gujarat,1223710,10939
India,Haryana,984389,10594
India,Himachal Pradesh,284293,4130
India,Jammu and Kashmir,453505,4750
India,Jharkhand,435022,5315
India,Karnataka,3944326,40028
India,Kerala,6524988,67138
India,Ladakh,28195,228
India,Lakshadweep,11402,52
India,Madhya Pradesh,1040821,10733
India,Maharashtra,7872032,143762
India,Manipur,137035,2120
India,Meghalaya,93702,1590
India,Mizoram,222205,674
India,Nagaland,35458,758
India,Odisha,1286957,9116
India,Puducherry,165766,1962
India,Punjab,758875,17737
India,Rajasthan,1282523,9551
India,Sikkim,39112,449
India,Tamil Nadu,3452215,38025
India,Telangana,790637,4111
India,Tripura,100870,919
India,Unknown,0,0
India,Uttar Pradesh,2070187,23492
India,Uttarakhand,437003,7689
India,West Bengal,2016675,21192
Indonesia,,5939082,153212
Iran,,7135719,139387
Iraq,,2315134,25119
Ireland,,1365467,6638
Israel,,3745401,10417
Italy,Abruzzo,285710,3036
Italy,Basilicata,93660,802
Italy,Calabria,256102,2208
Italy,Campania,1289081,9913
Italy,Emilia-Romagna,1227339,16126
Italy,Friuli Venezia Giulia,320027,4850
Italy,Lazio,1169669,10619
Italy,Liguria,364955,5167
Italy,Lombardia,2424013,39000
Italy,Marche,357149,3646
Italy,Molise,43746,582
Italy,P.A. Bolzano,197678,1430
Italy,P.A. Trento,144068,1531
Italy,Piemonte,1012452,13141
Italy,Puglia,814428,7840
Italy,Sardegna,203145,2140
Italy,Sicilia,883689,9814
Italy,Toscana,915716,9290
Italy,Umbria,209309,1770
Italy,Valle d'Aosta,31801,522
Italy,Veneto,1402097,14015
Jamaica,,128456,2857
Japan,Aichi,381670,1888
Japan,Akita,13135,43
Japan,Aomori,29593,80
Japan,Chiba,323717,1559
Japan,Ehime,21551,125
Japan,Fukui,18912,41
Japan,Fukuoka,275508,1072
Japan,Fukushima,30598,189
Japan,Gifu,61703,303
Japan,Gunma,62319,274
Japan,Hiroshima,86168,434
Japan,Hokkaido,201047,1890
Japan,Hyogo,309446,2028
Japan,Ibaraki,96671,352
Japan,Ishikawa,31307,179
Japan,Iwate,15243,69
Japan,Kagawa,25316,96
Japan,Kagoshima,37374,157
Japan,Kanagawa,548218,1930
Japan,Kochi,15169,96
Japan,Kumamoto,59084,263
Japan,Kyoto,144227,571
Japan,Mie,49762,261
Japan,Miyagi,50925,166
Japan,Miyazaki,22357,114
Japan,Nagano,37460,158
Japan,Nagasaki,31296,114
Japan,Nara,68195,331
Japan,Niigata,36110,85
Japan,Oita,28530,122
Japan,Okayama,57438,220
Japan,Okinawa,111684,433
Japan,Osaka,747882,4425
Japan,Port Quarantine,4463,4
Japan,Saga,28599,74
Japan,Saitama,380644,1282
Japan,Shiga,61865,179
Japan,Shimane,8096,9
Japan,Shizuoka,109632,371
Japan,Tochigi,54985,227
Japan,Tokushima,14559,78
Japan,Tokyo,1153712,4021
Japan,Tottori,8254,11
Japan,Toyama,24611,71
Japan,Unknown,8,0
Japan,Wakayama,26123,107
Japan,Yamagata,15315,76
Japan,Yamaguchi,26010,157
Japan,Yamanashi,20578,61
Jordan,,1680179,13959
Kazakhstan,,1393286,18999
Kenya,,323237,5647
Kiribati,,3041,13
"Korea, South",,8657609,11782
Kosovo,,227001,3127
Kuwait,,626609,2552
Kyrgyzstan,,200776,2976
Laos,,149131,643
Latvia,,761074,5484
Lebanon,,1086890,10232
Lesotho,,32775,697
Liberia,,7397,294
Libya,,500760,6365
Liechtenstein,,14926,81
Lithuania,,980331,8692
Luxembourg,,197701,1010
MS Zaandam,,9,2
Madagascar,,63870,1377
Malawi,,85539,2624
Malaysia,Johor,358025,4296
Malaysia,Kedah,277577,2471
Malaysia,Kelantan,238878,1379
Malaysia,Melaka,109699,1051
Malaysia,Negeri Sembilan,175878,1415
Malaysia,Pahang,155877,908
Malaysia,Perak,174389,1686
Malaysia,Perlis,15569,169
Malaysia,Pulau Pinang,250032,1896
Malaysia,Sabah,362553,3090
Malaysia,Sarawak,284502,1650
Malaysia,Selangor,1072354,10408
Malaysia,Terengganu,114649,824
Malaysia,Unknown,0,0
Malaysia,W.P. Kuala Lumpur,300740,2759
Malaysia,W.P. Labuan,19927,152
Malaysia,W.P. Putrajaya,16788,31
Maldives,,174658,297
Mali,,30439,727
Malta,,73728,619
Marshall Islands,,7,0
Mauritania,,58660,981
Mauritius,,181362,934
Mexico,Aguascalientes,63055,3482
Mexico,Baja California,131131,12160
Mexico,Baja California Sur,102153,2636
Mexico,Campeche,33766,2232
Mexico,Chiapas,35833,2398
Mexico,Chihuahua,128876,9895
Mexico,Ciudad de Mexico,1377867,42509
Mexico,Coahuila,144097,8752
Mexico,Colima,54371,2183
Mexico,Durango,67854,3574
Mexico,Guanajuato,279682,14827
Mexico,Guerrero,98103,6697
Mexico,Hidalgo,91018,8355
Mexico,Jalisco,237694,19316
Mexico,Mexico,534963,46979
Mexico,Michoacan,93561,8779
Mexico,Morelos,68138,5202
Mexico,Nayarit,57870,3161
Mexico,Nuevo Leon,311637,14901
Mexico,Oaxaca,118837,6116
Mexico,Puebla,168082,16369
Mexico,Queretaro,140703,6168
Mexico,Quintana Roo,91204,4365
Mexico,San Luis Potosi,183015,7441
Mexico,Sinaloa,120883,9608
Mexico,Sonora,163557,10046
Mexico,Tabasco,189546,6023
Mexico,Tamaulipas,142096,7948
Mexico,Tlaxcala,43449,3061
Mexico,Unknown,0,0
Mexico,Veracruz,176039,16148
Mexico,Yucatan,108673,6640
Mexico,Zacatecas,67201,3835
Micronesia,,1,0
Moldova,,509367,11373
Monaco,,10015,54
Mongolia,,916445,2177
Montenegro,,231927,2696
Morocco,,1162322,16050
Mozambique,,225200,2199
Namibia,,157489,4014
Nepal,,978107,11950
Netherlands,Aruba,33843,212
Netherlands,"Bonaire, Sint Eustatius and Saba",7739,31
Netherlands,Curacao,39560,265
Netherlands,Drenthe,176604,440
Netherlands,Flevoland,167661,324
Netherlands,Friesland,252087,606
Netherlands,Gelderland,888773,2716
Netherlands,Groningen,218458,344
Netherlands,Limburg,493417,2116
Netherlands,Noord-Brabant,1160031,3623
Netherlands,Noord-Holland,1209983,3280
Netherlands,Overijssel,508615,1385
Netherlands,Sint Maarten,9633,85
Netherlands,Unknown,84139,21
Netherlands,Utrecht,604794,1513
Netherlands,Zeeland,152767,376
Netherlands,Zuid-Holland,1547693,5032
New Zealand,Cook Islands,604,0
New Zealand,,452670,138
Nicaragua,,18290,228
Niger,,8788,308
Nigeria,,255092,3142
North Macedonia,,302548,9162
Norway,,1372340,2169
Oman,,387180,4250
Pakistan,Azad Jammu and Kashmir,43206,792
Pakistan,Balochistan,35454,378
Pakistan,Gilgit-Baltistan,11657,191
Pakistan,Islamabad,134910,1022
Pakistan,Khyber Pakhtunkhwa,218503,6307
Pakistan,Punjab,504219,13545
Pakistan,Sindh,572868,8091
Palau,,3935,6
Panama,,760735,8150
Papua New Guinea,,41533,639
Paraguay,,646630,18559
Peru,Amazonas,43819,1332
Peru,Ancash,125135,7072
Peru,Apurimac,38690,1617
Peru,Arequipa,211951,10217
Peru,Ayacucho,47976,2309
Peru,Cajamarca,95524,4429
Peru,Callao,146180,10461
Peru,Cusco,116398,5123
Peru,Huancavelica,25606,1259
Peru,Huanuco,51872,2865
Peru,Ica,103273,8896
Peru,Junin,125412,7410
Peru,La Libertad,146080,10880
Peru,Lambayeque,105269,9209
Peru,Lima,1601185,92695
Peru,Loreto,57777,4368
Peru,Madre de Dios,17691,841
Peru,Moquegua,48212,1611
Peru,Pasco,23846,1090
Peru,Piura,157319,13012
Peru,Puno,65291,4703
Peru,San Martin,61763,3138
Peru,Tacna,53638,2113
Peru,Tumbes,27224,1684
Peru,Ucayali,39365,3212
Peru,Unknown,2904,145
Philippines,,3672661,57880
Poland,,5863414,113980
Portugal,,3413013,21342
Qatar,,359517,677
Romania,,2806881,64581
Russia,Adygea Republic,47345,954
Russia,Altai Krai,255881,8310
Russia,Altai Republic,33238,590
Russia,Amur Oblast,100684,733
Russia,Arkhangelsk Oblast,221879,1601
Russia,Astrakhan Oblast,113376,2906
Russia,Bashkortostan Republic,266472,5426
Russia,Belgorod Oblast,123198,2100
Russia,Bryansk Oblast,153866,3652
Russia,Buryatia Republic,131957,2933
Russia,Chechen Republic,42696,1076
Russia,Chelyabinsk Oblast,308723,7251
Russia,Chukotka Autonomous Okrug,5370,41
Russia,Chuvashia Republic,75700,4506
Russia,Dagestan Republic,91234,3569
Russia,Ingushetia Republic,39867,547
Russia,Irkutsk Oblast,274194,8096
Russia,Ivanovo Oblast,105164,2960
Russia,Jewish Autonomous Okrug,16890,495
Russia,Kabardino-Balkarian Republic,60155,1817
Russia,Kaliningrad Oblast,159637,1724
Russia,Kalmykia Republic,49010,824
Russia,Kaluga Oblast,99244,1387
Russia,Kamchatka Krai,38555,609
Russia,Karachay-Cherkess Republic,44812,979
Russia,Karelia Republic,129556,1434
Russia,Kemerovo Oblast,153639,2207
Russia,Khabarovsk Krai,191273,1482
Russia,Khakassia Republic,85883,2307
Russia,Khanty-Mansi Autonomous Okrug,203523,2478
Russia,Kirov Oblast,147473,927
Russia,Komi Republic,165716,3014
Russia,Kostroma Oblast,84915,1272
Russia,Krasnodar Krai,242773,10572
Russia,Krasnoyarsk Krai,354995,10341
Russia,Kurgan Oblast,97759,1302
Russia,Kursk Oblast,110984,2339
Russia,Leningrad Oblast,178397,3412
Russia,Lipetsk Oblast,138213,3426
Russia,Magadan Oblast,19346,383
Russia,Mari El Republic,44030,1080
Russia,Mordovia Republic,63654,1316
Russia,Moscow,2726264,42328
Russia,Moscow Oblast,953439,14570
Russia,Murmansk Oblast,131816,3193
Russia,Nenets Autonomous Okrug,7082,96
Russia,Nizhny Novgorod Oblast,395922,11277
Russia,North Ossetia - Alania Republic,39926,1231
Russia,Novgorod Oblast,95837,976
Russia,Novosibirsk Oblast,246977,5220
Russia,Omsk Oblast,199355,4036
Russia,Orel Oblast,105700,1794
Russia,Orenburg Oblast,204863,3816
Russia,Penza Oblast,173119,5476
Russia,Perm Krai,351036,8566
Russia,Primorsky Krai,166087,1867
Russia,Pskov Oblast,104588,1668
Russia,Rostov Oblast,350572,10595
Russia,Ryazan Oblast,111766,3208
Russia,Saint Petersburg,1483077,32750
Russia,Sakha (Yakutiya) Republic,167820,2082
Russia,Sakhalin Oblast,63168,803
Russia,Samara Oblast,366386,7370
Russia,Saratov Oblast,231789,5770
Russia,Smolensk Oblast,125239,2874
Russia,Stavropol Krai,190002,6921
Russia,Sverdlovsk Oblast,407516,10448
Russia,Tambov Oblast,107966,2299
Russia,Tatarstan Republic,132799,1800
Russia,Tomsk Oblast,119797,771
Russia,Tula Oblast,146017,4979
Russia,Tver Oblast,154148,2675
Russia,Tyumen Oblast,180631,4114
Russia,Tyva Republic,44310,343
Russia,Udmurt Republic,159747,3730
Russia,Ulyanovsk Oblast,188243,4492
Russia,Vladimir Oblast,144538,3299
Russia,Volgograd Oblast,202367,6617
Russia,Vologda Oblast,179424,3539
Russia,Voronezh Oblast,356341,7959
Russia,Yamalo-Nenets Autonomous Okrug,133567,1024
Russia,Yaroslavl Oblast,149588,2615
Russia,Zabaykalsky Krai,160908,2247
Rwanda,,129623,1459
Saint Kitts and Nevis,,5544,42
Saint Lucia,,22870,365
Saint Vincent and the Grenadines,,8326,106
Samoa,,49,0
San Marino,,14834,112
Sao Tome and Principe,,5938,72
Saudi Arabia,,749268,9024
Senegal,,85818,1964
Serbia,,1949953,15647
Seychelles,,39771,163
Sierra Leone,,7670,125
Singapore,,986320,1182
Slovakia,,2322231,19040
Slovenia,,929013,6428
Solomon Islands,,9758,127
Somalia,,26410,1361
South Africa,,3700484,99829
South Sudan,,17084,138
Spain,Andalusia,1368513,13000
Spain,Aragon,402753,4950
Spain,Asturias,198338,2561
Spain,Baleares,259590,1231
Spain,C. Valenciana,1319710,9098
Spain,Canarias,310568,1612
Spain,Cantabria,127885,781
Spain,Castilla - La Mancha,478538,7118
Spain,Castilla y Leon,664470,8329
Spain,Catalonia,2317123,18568
Spain,Ceuta,19134,145
Spain,Extremadura,243485,2253
Spain,Galicia,553035,3149
Spain,La Rioja,90785,909
Spain,Madrid,1616860,17636
Spain,Melilla,20415,152
Spain,Murcia,382119,2181
Spain,Navarra,226199,1507
Spain,Pais Vasco,660520,6236
Spain,Unknown,0,0
Sri Lanka,,657435,16419
Sudan,,61775,4888
Summer Olympics 2020,,865,0
Suriname,,78893,1322
Sweden,Blekinge,29302,156
Sweden,Dalarna,68333,438
Sweden,Gavleborg,72983,659
Sweden,Gotland,11299,60
Sweden,Halland,103529,413
Sweden,Jamtland Harjedalen,32385,165
Sweden,Jonkoping,85519,647
Sweden,Kalmar,59370,329
Sweden,Kronoberg,48726,375
Sweden,Norrbotten,47985,366
Sweden,Orebro,91033,433
Sweden,Ostergotland,93744,780
Sweden,Skane,335383,2257
Sweden,Sormland,62513,562
Sweden,Stockholm,565742,5141
Sweden,Uppsala,88169,643
Sweden,Varmland,63922,305
Sweden,Vasterbotten,55586,281
Sweden,Vasternorrland,52531,566
Sweden,Vastmanland,74811,465
Sweden,Vastra Gotaland,430842,2953
Switzerland,,3241348,13322
Syria,,55488,3122
Taiwan*,,21583,853
Tajikistan,,17786,125
Tanzania,,33773,800
Thailand,,3303169,24075
Timor-Leste,,22801,129
Togo,,36871,272
Tonga,,2530,2
Trinidad and Tobago,,134272,3700
Tunisia,,1029762,28065
Turkey,,14644382,96954
US,Alabama,15578,209
US,Alabama,55218,668
US,Alabama,5465,94
US,Alabama,6408,100
US,Alabama,14883,228
US,Alabama,2282,52
US,Alabama,5045,125
US,Alabama,32325,605
US,Alabama,8449,159
US,Alabama,5108,84
US,Alabama,10897,199
US,Alabama,2043,36
US,Alabama,7078,98
US,Alabama,4086,81
US,Alabama,3554,69
US,Alabama,13337,230
US,Alabama,16253,251
US,Alabama,2842,69
US,Alabama,2942,58
US,Alabama,9267,224
US,Alabama,3784,96
US,Alabama,24479,359
US,Alabama,12458,226
US,Alabama,8354,239
US,Alabama,18724,321
US,Alabama,22936,337
US,Alabama,9977,167
US,Alabama,28762,632
US,Alabama,4970,93
US,Alabama,9844,137
US,Alabama,6211,159
US,Alabama,1862,48
US,Alabama,4682,103
US,Alabama,4450,73
US,Alabama,24990,492
US,Alabama,15001,233
US,Alabama,184021,2281
US,Alabama,3707,63
US,Alabama,24010,382
US,Alabama,7621,154
US,Alabama,37588,328
US,Alabama,24819,282
US,Alabama,2606,75
US,Alabama,3841,81
US,Alabama,88863,929
US,Alabama,5161,104
US,Alabama,8066,149
US,Alabama,27301,383
US,Alabama,112985,1610
US,Alabama,5264,80
US,Alabama,54587,914
US,Alabama,35955,499
US,Alabama,0,0
US,Alabama,2090,43
US,Alabama,5239,100
US,Alabama,7421,132
US,Alabama,5064,74
US,Alabama,10018,84
US,Alabama,60268,433
US,Alabama,25194,409
US,Alabama,2566,49
US,Alabama,22256,367
US,Alabama,11356,231
US,Alabama,55596,751
US,Alabama,0,0
US,Alabama,18524,429
US,Alabama,3721,58
US,Alabama,2871,44
US,Alabama,7569,126
US,Alaska,1048,3
US,Alaska,1680,2
US,Alaska,101614,511
US,Alaska,9818,40
US,Alaska,0,0
US,Alaska,820,1
US,Alaska,1927,9
US,Alaska,954,8
US,Alaska,403,1
US,Alaska,1610,11
US,Alaska,27267,134
US,Alaska,607,1
US,Alaska,8090,20
US,Alaska,17411,102
US,Alaska,3877,21
US,Alaska,4907,11
US,Alaska,3974,12
US,Alaska,34130,234
US,Alaska,5692,5
US,Alaska,4326,11
US,Alaska,4386,14
US,Alaska,701,3
US,Alaska,1412,8
US,Alaska,2290,6
US,Alaska,147,0
US,Alaska,2007,18
US,Alaska,902,1
US,Alaska,0,0
US,Alaska,460,1
US,Alaska,530,5
US,Alaska,1396,9
US,American Samoa,779,0
US,Arizona,22126,592
US,Arizona,31188,546
US,Arizona,43272,459
US,Arizona,16946,364
US,Arizona,11932,173
US,Arizona,2213,32
US,Arizona,5161,137
US,Arizona,1256653,16166
US,Arizona,57175,1396
US,Arizona,37955,861
US,Arizona,0,0
US,Arizona,251765,3722
US,Arizona,129486,1566
US,Arizona,16588,227
US,Arizona,0,0
US,Arizona,47622,1159
US,Arizona,62389,1147
US,Arkansas,5666,78
US,Arkansas,5090,64
US,Arkansas,8669,244
US,Arkansas,66283,820
US,Arkansas,9381,171
US,Arkansas,2984,48
US,Arkansas,952,9
US,Arkansas,6078,98
US,Arkansas,2755,57
US,Arkansas,5271,78
US,Arkansas,4083,90
US,Arkansas,6415,127
US,Arkansas,2249,35
US,Arkansas,5352,90
US,Arkansas,5441,62
US,Arkansas,37158,324
US,Arkansas,15759,245
US,Arkansas,13976,216
US,Arkansas,4807,79
US,Arkansas,1731,30
US,Arkansas,3014,40
US,Arkansas,4654,67
US,Arkansas,34924,310
US,Arkansas,3792,72
US,Arkansas,2667,87
US,Arkansas,23050,498
US,Arkansas,4408,59
US,Arkansas,15822,168
US,Arkansas,4522,59
US,Arkansas,11117,128
US,Arkansas,3747,49
US,Arkansas,10561,201
US,Arkansas,3875,66
US,Arkansas,6023,59
US,Arkansas,18543,270
US,Arkansas,6740,80
US,Arkansas,1287,31
US,Arkansas,5217,74
US,Arkansas,2902,58
US,Arkansas,4901,66
US,Arkansas,3250,92
US,Arkansas,5087,76
US,Arkansas,19799,238
US,Arkansas,3916,60
US,Arkansas,3351,87
US,Arkansas,9459,162
US,Arkansas,13324,204
US,Arkansas,1917,31
US,Arkansas,1498,57
US,Arkansas,2170,44
US,Arkansas,1711,46
US,Arkansas,5431,99
US,Arkansas,2503,36
US,Arkansas,4770,96
US,Arkansas,2593,42
US,Arkansas,7936,125
US,Arkansas,4112,146
US,Arkansas,18358,202
US,Arkansas,1954,41
US,Arkansas,102514,1156
US,Arkansas,5076,82
US,Arkansas,30704,325
US,Arkansas,2280,40
US,Arkansas,2098,44
US,Arkansas,32559,515
US,Arkansas,5884,72
US,Arkansas,4598,103
US,Arkansas,7091,92
US,Arkansas,2899,64
